ProductID,Name,PremiumFlag,ModelType,Color,TyreType,YearReleased,BasePrice,Scale,Edition,SeriesName,CountryOfOrigin
247,Baja Truck MK II,0,Hypercar,Blue,Plastic,1991,668.79,01:24,Mainline Edition,HW Flames,Thailand
248,Dodge Challenger SRT MK II,0,Muscle,White,Plastic,1993,312.44,01:24,First Edition,Street Beasts,China
249,Eruption MK II,0,Muscle,Orange,Rubber,1978,448.89,01:24,Treasure Hunt,Street Beasts,Thailand
250,Baja Truck MK II,0,Classic,Silver,Rubber,1975,762.81,01:24,Mainline Edition,Legends,India
251,El Viento MK II,0,Truck,Red,Rubber,1993,716.42,01:24,Collectors Edition,Legends,India
252,Way 2 Fast MK II,0,Hypercar,Silver,Plastic,1978,538.53,01:24,Mainline Edition,Speed Machines,Thailand
253,Prototype H-24 MK II,1,Offroad,Black,Rubber,2008,2178.94,01:24,Treasure Hunt,HW Flames,Malaysia
254,Mad Manga MK II,0,Sports,Yellow,Plastic,1972,439.18,01:24,First Edition,Speed Machines,India
255,Volkswagen Beetle MK II,0,Concept,White,Plastic,2018,389.55,01:24,First Edition,Dream Garage,Malaysia
256,Ford Mustang GT MK II,0,Offroad,Green,Rubber,1983,448.79,01:24,Mainline Edition,Speed Machines,China
257,Nissan Skyline GT-R (R34) MK II,0,Truck,Blue,Plastic,2013,501.9,01:24,First Edition,Street Beasts,Malaysia
258,Eruption MK II,1,Sports,Red,Plastic,1974,1821.93,01:24,Mainline Edition,HW Flames,China
259,Way 2 Fast MK II,0,Sports,Red,Rubber,1998,439.83,01:24,Collectors Edition,Street Beasts,Thailand
260,RD-02 MK II,1,Classic,White,Plastic,1980,1866.13,01:24,Mainline Edition,Speed Machines,India
261,Hover & Out MK II,1,Muscle,Orange,Rubber,1977,2185.16,01:24,Collectors Edition,Legends,Malaysia
262,Winning Formula MK II,1,Sports,White,Rubber,1973,2191.63,01:24,Mainline Edition,Street Beasts,China
263,Slingshot MK II,1,Truck,Blue,Rubber,2020,1211.32,01:24,Collectors Edition,Street Beasts,China
264,Synkro MK II,0,Hypercar,Silver,Plastic,2016,619.11,01:24,Mainline Edition,Dream Garage,India
265,Rev Rod MK II,0,Muscle,Black,Rubber,1997,719.06,01:24,First Edition,HW Flames,India
266,Twin Mill MK II,0,Hypercar,Yellow,Rubber,1990,458.5,01:24,Treasure Hunt,Legends,Thailand
267,Fast Fish MK II,0,Truck,Orange,Rubber,1980,720.98,01:24,First Edition,Street Beasts,Malaysia
268,Speed Slayer MK II,1,Muscle,White,Rubber,1996,1259.07,01:24,First Edition,HW Flames,India
269,Driftsta MK II,1,Classic,White,Plastic,2020,1360.11,01:24,First Edition,Legends,Malaysia
270,Honda Civic Type R MK II,0,Classic,Yellow,Rubber,2024,515.91,01:24,Mainline Edition,HW Flames,China
271,Electro Silhouette MK II,0,Concept,Black,Plastic,2024,653.73,01:24,Collectors Edition,Speed Machines,Malaysia
272,Power Pistons MK II,0,Truck,Yellow,Rubber,1997,548.96,01:24,First Edition,Dream Garage,India
273,Screamliner MK II,0,Truck,Blue,Rubber,2008,753.84,01:24,Collectors Edition,HW Flames,China
274,Nissan Skyline GT-R (R34) MK II,1,Concept,Blue,Plastic,1981,1366,01:24,Collectors Edition,Legends,China
275,Aristorat MK II,0,Hypercar,Yellow,Plastic,1972,501.47,01:24,Collectors Edition,Legends,Indonesia
276,Porsche 911 GT3 RS MK II,0,Offroad,Silver,Rubber,2009,557.66,01:24,Treasure Hunt,HW Flames,Thailand
277,Ford Mustang GT MK II,1,Truck,Silver,Rubber,2013,2100.52,01:24,Collectors Edition,Dream Garage,Malaysia
278,Tesla Roadster MK II,1,Muscle,Silver,Rubber,1986,1414.03,01:24,Treasure Hunt,Speed Machines,Indonesia
279,Gazella GT MK II,0,Truck,Silver,Rubber,2014,648.36,01:24,Collectors Edition,Legends,Thailand
280,Overbored 454 MK II,0,Truck,Green,Plastic,2005,445.95,01:24,First Edition,Legends,India
281,HW Formula Solar MK II,0,Hypercar,Green,Rubber,1976,645.07,01:24,First Edition,Legends,India
282,The Nash MK II,1,Concept,Black,Plastic,2006,2042.33,01:24,First Edition,Speed Machines,Thailand
283,Eruption MK II,1,Classic,Green,Plastic,2000,1250.86,01:24,Treasure Hunt,Speed Machines,Indonesia
284,The Nash MK II,1,Truck,Silver,Plastic,1988,1202.72,01:24,Mainline Edition,Dream Garage,Malaysia
285,Baja Truck MK II,0,Truck,Green,Plastic,2020,627.63,01:24,Treasure Hunt,Street Beasts,China
286,Nissan Skyline GT-R (R34) MK II,0,Offroad,Yellow,Plastic,1977,346.59,01:24,First Edition,Street Beasts,China
287,Super Blitzen MK II,0,Muscle,Yellow,Plastic,2012,687.3,01:24,Treasure Hunt,HW Flames,India
288,Dodge Challenger SRT MK II,0,Sports,Orange,Plastic,1970,426.19,01:24,First Edition,Dream Garage,China
289,Muscle Tone MK II,0,Offroad,Red,Rubber,1985,411.12,01:24,First Edition,Legends,China
290,Hi-Roller MK II,0,Muscle,Green,Plastic,2007,515.73,01:24,Mainline Edition,Speed Machines,China
291,Datsun 240Z MK II,1,Hypercar,Red,Rubber,1971,1903.4,01:24,Collectors Edition,HW Flames,Indonesia
292,Cruise Bruiser MK II,0,Classic,Yellow,Plastic,2018,403.26,01:24,Collectors Edition,HW Flames,India
293,Dodge Challenger SRT MK II,1,Hypercar,Yellow,Rubber,2008,1781.59,01:24,Mainline Edition,Street Beasts,Thailand
294,Ford Mustang GT MK II,1,Hypercar,Green,Plastic,1994,1971.51,01:24,Collectors Edition,Speed Machines,Indonesia
295,Chevrolet Camaro SS MK II,0,Truck,White,Rubber,2009,333.92,01:24,First Edition,Legends,China
296,Winning Formula MK II,1,Muscle,Red,Rubber,2022,2404.2,01:24,First Edition,HW Flames,China
297,Driftsta MK II,0,Concept,Orange,Rubber,2005,404.06,01:24,Collectors Edition,Legends,Indonesia
298,Roger Dodger MK II,0,Classic,Green,Rubber,1973,494.53,01:24,First Edition,Speed Machines,India
299,The Gov'ner MK II,0,Muscle,Silver,Plastic,2018,687.52,01:24,Collectors Edition,Dream Garage,India
300,Blvd. Bruiser MK II,1,Hypercar,Silver,Plastic,1968,1307.52,01:24,First Edition,Legends,Thailand
